,Cerebellum,Cortex,Gonadal,Hippocampus,Liver,Striatum,Cerebellum_values,Cortex_values,Gonadal_values,Hippocampus_values,Liver_values,Striatum_values
ENSMUSG00000087644,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-0.8214285714285715,0.8999999999999998
ENSMUSG00000089396,0,0,1,0,1,0,0.0,0.0,0.8928571428571429,0.0,-0.8214285714285715,0.0
ENSMUSG00000089788,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-0.9642857142857145,0.8999999999999998
ENSMUSG00000089990,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-0.8214285714285715,-0.8999999999999998
ENSMUSG00000090157,0,0,0,1,1,0,0.0,0.0,0.0,0.8571428571428573,0.8928571428571429,0.0
ENSMUSG00000091570,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8571428571428573,-0.8999999999999998
ENSMUSG00000091867,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-0.8928571428571429,-0.8720815992723809
ENSMUSG00000092349,0,0,0,1,1,1,0.0,0.0,0.0,-0.8214285714285715,-0.8214285714285715,-0.8999999999999998
ENSMUSG00000093628,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-0.8571428571428573,0.8999999999999998
ENSMUSG00000093671,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.9285714285714288,-0.8720815992723809
ENSMUSG00000094500,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8571428571428573,0.8999999999999998
ENSMUSG00000095204,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-0.9285714285714288,0.8999999999999998
ENSMUSG00000096753,0,0,0,1,1,1,0.0,0.0,0.0,0.8214285714285715,-0.8214285714285715,0.8999999999999998
ENSMUSG00000096959,1,0,0,0,1,0,0.8333333333333335,0.0,0.0,0.0,-0.8571428571428573,0.0
ENSMUSG00000097055,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-0.8214285714285715,0.8999999999999998
ENSMUSG00000097322,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-0.8571428571428573,0.8999999999999998
ENSMUSG00000097432,0,0,0,1,1,0,0.0,0.0,0.0,-0.8214285714285715,0.8214285714285715,0.0
ENSMUSG00000097440,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-0.8928571428571429,-0.8999999999999998
ENSMUSG00000097493,0,0,1,0,1,0,0.0,0.0,0.8928571428571429,0.0,-0.8928571428571429,0.0
ENSMUSG00000097574,0,0,1,0,1,1,0.0,0.0,-0.9285714285714288,0.0,-0.8571428571428573,0.8999999999999998
ENSMUSG00000097592,0,0,0,1,1,0,0.0,0.0,0.0,-0.8214285714285715,0.8571428571428573,0.0
ENSMUSG00000097674,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-0.8571428571428573,0.8999999999999998
ENSMUSG00000097800,1,0,0,0,1,0,-0.9285714285714287,0.0,0.0,0.0,-0.8571428571428573,0.0
ENSMUSG00000097841,1,0,0,0,1,0,-0.9047619047619048,0.0,0.0,0.0,0.8017837257372733,0.0
ENSMUSG00000098050,0,0,1,0,1,0,0.0,0.0,0.8571428571428573,0.0,-0.8571428571428573,0.0
ENSMUSG00000098056,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.8571428571428573,0.9999999999999999
ENSMUSG00000098534,0,0,0,1,1,0,0.0,0.0,0.0,-0.8214285714285715,0.8153742483272114,0.0
ENSMUSG00000098905,0,0,1,0,1,1,0.0,0.0,0.8571428571428573,0.0,-0.9285714285714288,0.8999999999999998
